"2014-08-30 20:40:23",EventLogger,log_opened,"Log opened upon Event Logger startup." 
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000351,
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000345,
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000379,
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000367,
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000373,
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000387,
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000398,
"2014-08-30 21:09:05","AIR:401000000",avatarExit,401000404,
"2014-08-30 21:09:05","AIR:401000000","ai-exception",401000013,0,"toontown.fishing.DistributedFishingTargetAI:49, toontown.fishing.DistributedFishingTargetAI:22, direct.distributed.AstronInternalRepository:203, direct.distributed.AstronInternalRepository:150, KeyError: 0"
"2014-08-30 21:09:08","Client:1000000005","client-connected","127.0.0.1:54682","127.0.0.1:7198"
"2014-08-30 21:09:08","AIR:1000000",accountLogin,1000000005,100000014,master
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000050,"2000|18"
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000056,"2000|14"
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000063,"2000|16"
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000069,"2000|21"
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000075,"2000|13"
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000104,"2100|1"
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000110,"2100|2"
"2014-08-30 21:09:15","AIR:401000000","building-toon",401000115,"2100|3"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000121,"2100|4"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000127,"2100|6"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000132,"2100|7"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000138,"2100|10"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000144,"2100|11"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000149,"2100|16"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000155,"2100|18"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000161,"2100|17"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000167,"2100|21"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000173,"2100|24"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000179,"2100|25"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000185,"2100|26"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000191,"2100|29"
"2014-08-30 21:09:16","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000199,"2100|33"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000205,"2100|38"
"2014-08-30 21:09:16","AIR:401000000","building-cog",401000210,"2100|57|c|1"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000212,"2100|39"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000218,"2100|43"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000224,"2100|44"
"2014-08-30 21:09:16","AIR:401000000","building-cog",401000230,"2100|49|c|1"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000232,"2100|60"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000238,"2100|52"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000243,"2100|53"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000248,"2100|55"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000254,"2100|54"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000260,"2100|56"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000266,"2100|59"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000272,"2100|61"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000278,"2100|67"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000284,"2100|63"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000289,"2100|62"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000295,"2100|64"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000301,"2100|66"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000307,"2100|65"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000313,"2100|69"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000319,"2100|70"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000334,"2200|1"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000339,"2200|4"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000344,"2200|5"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000350,"2200|8"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000356,"2200|43"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000361,"2200|44"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000366,"2200|11"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000372,"2200|12"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000378,"2200|13"
"2014-08-30 21:09:16","AIR:401000000","building-cog",401000384,"2200|14|l|2"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000386,"2200|16"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000392,"2200|48"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000397,"2200|17"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000403,"2200|20"
"2014-08-30 21:09:16","AIR:401000000","building-cog",401000409,"2200|39|l|2"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000411,"2200|25"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000416,"2200|27"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000422,"2200|28"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000428,"2200|30"
"2014-08-30 21:09:16","AIR:401000000","building-toon",401000434,"2200|29"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000440,"2200|31"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000445,"2200|32"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000451,"2200|33"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000457,"2200|34"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000463,"2200|35"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000469,"2200|47"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000474,"2200|41"
"2014-08-30 21:09:17","AIR:401000000","building-cog",401000479,"2200|40|l|1"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000490,"2300|1"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000496,"2300|2"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000502,"2300|3"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000507,"2300|4"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000513,"2300|39"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000519,"2300|41"
"2014-08-30 21:09:17","AIR:401000000","building-cog",401000524,"2300|37|s|1"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000526,"2300|9"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000532,"2300|14"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000537,"2300|36"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000542,"2300|5"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000547,"2300|34"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000553,"2300|29"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000559,"2300|30"
"2014-08-30 21:09:17","AIR:401000000","building-cog",401000565,"2300|18|s|2"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000567,"2300|31"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000573,"2300|21"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000578,"2300|22"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000584,"2300|33"
"2014-08-30 21:09:17","AIR:401000000","building-cog",401000589,"2300|24|c|1"
"2014-08-30 21:09:17","AIR:401000000","building-toon",401000591,"2300|23"
"2014-08-30 21:09:20","Client:1000000005","client-disconnected"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000645,"1000|8"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000671,"1100|26"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000677,"1100|2"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000683,"1100|4"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000689,"1100|6"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000695,"1100|8"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000701,"1100|20|c|1"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000703,"1100|9"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000709,"1100|27"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000715,"1100|12"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000721,"1100|13|c|2"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000723,"1100|14|c|1"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000725,"1100|15"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000731,"1100|16"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000737,"1100|17"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000743,"1100|19"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000749,"1100|21"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000755,"1100|22"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000761,"1100|28|c|3"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000763,"1100|24|c|3"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000774,"1200|25"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000780,"1200|3"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000786,"1200|6"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000792,"1200|5"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000798,"1200|7"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000804,"1200|26"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000810,"1200|9"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000816,"1200|10"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000822,"1200|11"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000828,"1200|12"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000834,"1200|14|m|3"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000836,"1200|13"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000842,"1200|27"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000848,"1200|17|m|1"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000850,"1200|18|m|4"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000852,"1200|19"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000858,"1200|20"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000864,"1200|21|m|3"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000866,"1200|23"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000872,"1200|24|m|3"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000874,"1200|1"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000880,"1200|16"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000886,"1200|28"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000901,"1300|30"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000907,"1300|29"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000913,"1300|31"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000919,"1300|2"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000925,"1300|32"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000931,"1300|4"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000937,"1300|5"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000943,"1300|6"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000949,"1300|7"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000955,"1300|8"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000961,"1300|9"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000967,"1300|10|c|1"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000969,"1300|11"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000975,"1300|14"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000981,"1300|13"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000987,"1300|15"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401000993,"1300|33|c|1"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401000995,"1300|18"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401001001,"1300|19|c|2"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401001003,"1300|20"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401001009,"1300|21"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401001015,"1300|23"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401001021,"1300|24"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401001027,"1300|25"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401001033,"1300|26|m|3"
"2014-08-30 21:09:25","AIR:401000000","building-toon",401001035,"1300|34"
"2014-08-30 21:09:25","AIR:401000000","building-cog",401001041,"1300|28|c|2"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001092,"5000|3"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001118,"5100|2"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001124,"5100|1"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001130,"5100|3"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001136,"5100|5"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001142,"5100|4"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001148,"5100|6"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001154,"5100|7"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001160,"5100|8"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001166,"5100|9"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001172,"5100|11"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001178,"5100|10"
"2014-08-30 21:09:31","AIR:401000000","building-cog",401001184,"5100|26|s|1"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001186,"5100|13"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001192,"5100|15"
"2014-08-30 21:09:31","AIR:401000000","building-toon",401001198,"5100|25"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001204,"5100|16|l|3"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001206,"5100|17|s|2"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001208,"5100|18"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001214,"5100|19"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001220,"5100|20"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001226,"5100|21|l|2"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001228,"5100|22"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001234,"5100|23|s|2"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001236,"5100|24"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001251,"5200|25"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001257,"5200|26|s|2"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001259,"5200|27"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001265,"5200|1"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001271,"5200|2"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001277,"5200|3"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001283,"5200|4"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001289,"5200|5"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001295,"5200|6"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001301,"5200|7"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001307,"5200|9"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001313,"5200|11|l|3"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001315,"5200|12"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001321,"5200|13"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001327,"5200|14"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001333,"5200|15"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001339,"5200|16"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001345,"5200|17|l|3"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001347,"5200|18"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001353,"5200|19|l|1"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001355,"5200|20"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001361,"5200|21"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001367,"5200|8"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001373,"5200|10|s|2"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001384,"5300|33|s|2"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001386,"5300|35"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001392,"5300|36"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001398,"5300|15|s|3"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001400,"5300|17|s|3"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001402,"5300|27"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001408,"5300|28"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001414,"5300|9"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001420,"5300|30"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001426,"5300|19"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001432,"5300|21"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001438,"5300|5"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001444,"5300|11"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001450,"5300|10"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001456,"5300|26|s|4"
"2014-08-30 21:09:32","AIR:401000000","building-cog",401001458,"5300|37|s|4"
"2014-08-30 21:09:32","AIR:401000000","building-toon",401001460,"5300|4"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000050,"2000|18"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000056,"2000|14"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000063,"2000|16"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000069,"2000|21"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000075,"2000|13"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000104,"2100|1"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000110,"2100|2"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000115,"2100|3"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000121,"2100|4"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000127,"2100|6"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000132,"2100|7"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000138,"2100|10"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000144,"2100|11"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000149,"2100|16"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000155,"2100|18"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000161,"2100|17"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000167,"2100|21"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000173,"2100|24"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000179,"2100|25"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000185,"2100|26"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000191,"2100|29"
"2014-08-30 21:09:35","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000199,"2100|33"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000205,"2100|38"
"2014-08-30 21:09:35","AIR:401000000","building-cog",401000210,"2100|57|c|1"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000212,"2100|39"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000218,"2100|43"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000224,"2100|44"
"2014-08-30 21:09:35","AIR:401000000","building-cog",401000230,"2100|49|c|1"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000232,"2100|60"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000238,"2100|52"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000243,"2100|53"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000248,"2100|55"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000254,"2100|54"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000260,"2100|56"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000266,"2100|59"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000272,"2100|61"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000278,"2100|67"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000284,"2100|63"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000289,"2100|62"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000295,"2100|64"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000301,"2100|66"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000307,"2100|65"
"2014-08-30 21:09:35","AIR:401000000","building-toon",401000313,"2100|69"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000319,"2100|70"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000334,"2200|1"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000339,"2200|4"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000344,"2200|5"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000350,"2200|8"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000356,"2200|43"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000361,"2200|44"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000366,"2200|11"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000372,"2200|12"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000378,"2200|13"
"2014-08-30 21:09:36","AIR:401000000","building-cog",401000384,"2200|14|l|2"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000386,"2200|16"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000392,"2200|48"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000397,"2200|17"
"2014-08-30 21:09:36","AIR:401000000","building-toon",401000403,"2200|20"
"2014-08-30 21:09:36","AIR:401000000","building-cog",401000409,"2200|39|l|2"
"2014-08-30 21:09:37","AIR:401000000","building-toon",401000411,"2200|25"
"2014-08-30 21:09:37","AIR:401000000","building-toon",401000416,"2200|27"
"2014-08-30 21:09:37","AIR:401000000","building-toon",401000422,"2200|28"
"2014-08-30 21:09:37","AIR:401000000","building-toon",401000428,"2200|30"
"2014-08-30 21:09:38","AIR:401000000","building-toon",401000434,"2200|29"
"2014-08-30 21:09:38","AIR:401000000","building-toon",401000440,"2200|31"
"2014-08-30 21:09:38","AIR:401000000","building-toon",401000445,"2200|32"
"2014-08-30 21:09:38","AIR:401000000","building-toon",401000451,"2200|33"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000457,"2200|34"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000463,"2200|35"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000469,"2200|47"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000474,"2200|41"
"2014-08-30 21:09:40","AIR:401000000","building-cog",401000479,"2200|40|l|1"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000490,"2300|1"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000496,"2300|2"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000502,"2300|3"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000507,"2300|4"
"2014-08-30 21:09:40","AIR:401000000","building-toon",401000513,"2300|39"
"2014-08-30 21:09:41","AIR:401000000","building-toon",401000519,"2300|41"
"2014-08-30 21:09:41","AIR:401000000","building-cog",401000524,"2300|37|s|1"
"2014-08-30 21:09:41","AIR:401000000","building-toon",401000526,"2300|9"
"2014-08-30 21:09:41","AIR:401000000","building-toon",401000532,"2300|14"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000537,"2300|36"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000542,"2300|5"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000547,"2300|34"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000553,"2300|29"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000559,"2300|30"
"2014-08-30 21:09:42","AIR:401000000","building-cog",401000565,"2300|18|s|2"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000567,"2300|31"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000573,"2300|21"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000578,"2300|22"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000584,"2300|33"
"2014-08-30 21:09:42","AIR:401000000","building-cog",401000589,"2300|24|c|1"
"2014-08-30 21:09:42","AIR:401000000","building-toon",401000591,"2300|23"
"2014-08-30 21:09:44","AIR:401000000","building-toon",401001515,"4000|6"
"2014-08-30 21:09:44","AIR:401000000","building-toon",401001541,"4100|3"
"2014-08-30 21:09:45","AIR:401000000","building-toon",401001547,"4100|4"
"2014-08-30 21:09:45","AIR:401000000","building-toon",401001553,"4100|6"
"2014-08-30 21:09:47","AIR:401000000","building-toon",401001559,"4100|7"
"2014-08-30 21:09:47","AIR:401000000","building-toon",401001565,"4100|45"
"2014-08-30 21:09:47","AIR:401000000","building-toon",401001571,"4100|14"
"2014-08-30 21:09:47","AIR:401000000","building-toon",401001577,"4100|17"
"2014-08-30 21:09:48","AIR:401000000","building-toon",401001583,"4100|18"
"2014-08-30 21:09:48","AIR:401000000","building-cog",401001589,"4100|19|m|2"
"2014-08-30 21:09:48","AIR:401000000","building-toon",401001591,"4100|22"
"2014-08-30 21:09:48","AIR:401000000","building-toon",401001597,"4100|23"
"2014-08-30 21:09:48","AIR:401000000","building-toon",401001603,"4100|26"
"2014-08-30 21:09:48","AIR:401000000","building-toon",401001609,"4100|48"
"2014-08-30 21:09:48","AIR:401000000","building-toon",401001615,"4100|28"
"2014-08-30 21:09:48","AIR:401000000","building-toon",401001621,"4100|31"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001627,"4100|32"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001633,"4100|58"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001639,"4100|49"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001644,"4100|35"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001650,"4100|52"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001656,"4100|37"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001662,"4100|42"
"2014-08-30 21:09:49","AIR:401000000","building-toon",401001668,"4100|41"
